yearmonth,coal_production,oil_production,gas_production,FF_production,nuclear_production,hydro_production,geothermal_production,solar_production,wind_production,biomass_production,renewable_production,totalprimary_production,ff_consumption,nuclear_consumption,renewable_consumption,totalprimary_consumption,primary_imports,primary_exports
2000 January,1.855655,1.040031,1.884461,4.780147,0.737981,0.258518,0.014724,0.003259,0.006583,0.222067,0.50515,6.023278,7.692062,0.737981,0.505525,8.945501,2.202712,0.318532
2000 February,1.846984,0.984279,1.742285,4.573548,0.669318,0.229354,0.013606,0.003628,0.007201,0.246169,0.499959,5.742825,7.222425,0.669318,0.498995,8.402201,2.197317,0.262365
2000 March,2.106475,1.064094,1.901283,5.071853,0.654279,0.272397,0.013848,0.004981,0.003571,0.263209,0.558005,6.284137,7.071465,0.654279,0.558477,8.293297,2.358662,0.360495
2000 April,1.732611,1.018625,1.800644,4.55188,0.607585,0.290623,0.014367,0.005558,0.003367,0.254609,0.568524,5.727989,6.486421,0.607585,0.567151,7.669702,2.364967,0.303161
2000 May,1.879543,1.051202,1.866604,4.797348,0.667205,0.279719,0.013885,0.006279,0.004163,0.254678,0.558724,6.023277,6.789661,0.667205,0.558828,8.025769,2.401082,0.319377
2000 June,1.919697,1.013181,1.817898,4.750776,0.701857,0.256913,0.013563,0.006366,0.00456,0.227712,0.509114,5.961746,6.783197,0.701857,0.507747,8.002823,2.455863,0.316959
2000 July,1.794655,1.031937,1.879316,4.705909,0.719306,0.246155,0.013983,0.006901,0.003876,0.255348,0.526262,5.951476,6.970518,0.719306,0.525596,8.2304,2.48172,0.308008
2000 August,2.047172,1.040814,1.892599,4.980585,0.701102,0.224228,0.014003,0.006674,0.00384,0.254942,0.503686,6.185372,7.320572,0.701102,0.505427,8.542555,2.592801,0.377362
2000 September,1.889379,1.001839,1.829515,4.720733,0.607662,0.181584,0.011971,0.006099,0.003391,0.240331,0.443376,5.771771,6.629874,0.607662,0.443553,7.692325,2.44013,0.318828
2000 October,1.967912,1.044464,1.920526,4.932901,0.547207,0.175315,0.012837,0.005395,0.004197,0.270472,0.468215,5.948323,6.738354,0.547207,0.469436,7.760532,2.425012,0.368946
2000 November,1.916304,1.014884,1.825957,4.757145,0.58894,0.195459,0.013383,0.004293,0.008396,0.261335,0.482866,5.828952,6.858912,0.58894,0.48443,7.939985,2.352358,0.371588
2000 December,1.779092,1.052748,1.851907,4.683747,0.65991,0.200852,0.014194,0.004038,0.003914,0.254788,0.477785,5.821442,8.058291,0.65991,0.479069,9.198444,2.592629,0.336045
2001 January,2.027427,1.042647,1.877038,4.947112,0.717508,0.194798,0.014612,0.003104,0.004022,0.228434,0.44497,6.10959,8.058063,0.717508,0.447071,9.229006,2.684007,0.343018
2001 February,1.819437,0.938688,1.728542,4.486667,0.639868,0.180547,0.012812,0.003404,0.004456,0.202849,0.404069,5.530604,7.026546,0.639868,0.404482,8.07248,2.275473,0.281421
2001 March,2.078637,1.05728,1.939495,5.075413,0.648935,0.211591,0.014206,0.004837,0.005498,0.219649,0.45578,6.180129,7.362239,0.648935,0.456138,8.473229,2.614857,0.286021
2001 April,1.890419,1.020098,1.870376,4.780893,0.58484,0.186128,0.013162,0.005372,0.007075,0.213628,0.425366,5.791098,6.620594,0.58484,0.424538,7.638084,2.59639,0.310305
2001 May,1.992608,1.048131,1.944962,4.985702,0.642374,0.198142,0.01298,0.006326,0.006562,0.211506,0.435516,6.063592,6.542012,0.642374,0.434871,7.629039,2.653393,0.35224
2001 June,1.948102,1.003248,1.861423,4.812772,0.710365,0.214179,0.013088,0.00648,0.006919,0.21395,0.454616,5.977754,6.482683,0.710365,0.451264,7.652567,2.431719,0.299518
2001 July,1.878077,1.033604,1.917963,4.829644,0.722301,0.186812,0.014087,0.006764,0.006561,0.221842,0.436066,5.988011,6.97562,0.722301,0.438441,8.144373,2.580344,0.275281
